hyponym,hypo-definition,hypernym,hyper-definition
vivid,"""evoking lifelike images within the mind""",expressive,"""performing gestures or possessing qualities or features that suggest a certain state of being or emotion"""
vivid,"""evoking lifelike images within the mind""",clear,"""readily apparent to the mind"""
vivid,"""evoking lifelike images within the mind""",colorful,"""having much or varied color"""
vocational,"""of or relating to a vocation or occupation; especially providing or undergoing training in special skills""",practical,"""concerned with actual use or practice"""
vocational,"""of or relating to a vocation or occupation; especially providing or undergoing training in special skills""",educational,"""relating to the process of education"""
vocational,"""of or relating to a vocation or occupation; especially providing or undergoing training in special skills""",occupational,"""of or relating to the activity or business for which you are trained"""
voluntary,"""of your own free will or design; done by choice; not forced or compelled""",free,"""not limited or hampered; not under compulsion or restraint"""
voluntary,"""of your own free will or design; done by choice; not forced or compelled""",autonomous,"""(of political bodies) not controlled by outside forces"""
waiting,"""being and remaining ready and available for use""",prepared,"""made ready or fit or suitable beforehand"""
walking,"""close enough to be walked to""",close,"""at or within a short distance in space or time or having elements near each other"""
walking,"""close enough to be walked to""",reachable,"""easily approached"""
warm,"""having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat""",comfortable,"""providing or experiencing physical well-being or relief (‘comfy’ is informal)"""
waste,"""located in a dismal or remote area; desolate""",bleak,"""offering little or no hope"""
weak,"""wanting in physical strength""",powerless,"""lacking power"""
wealthy,"""having an abundant supply of money or possessions of value""",rich,"""possessing material wealth"""
weird,"""fate personified; any one of the three Weird Sisters""",supernatural,"""not existing in nature or subject to explanation according to natural laws; not physical or material"""
weird,"""fate personified; any one of the three Weird Sisters""",ominous,"""threatening or foreshadowing evil or tragic developments"""
well,"""in good health especially after having suffered illness or injury""",sound,"""financially secure and safe"""
well,"""in good health especially after having suffered illness or injury""",recovered,"""freed from illness or injury"""
western,"""relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts""",cultural,"""of or relating to the arts and manners that a group favors"""
western,"""relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts""",global,"""involving the entire earth; not limited or provincial in scope"""
western,"""relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts""",continental,"""of or pertaining to or typical of Europe"""
wet,"""covered or soaked with a liquid such as water""",saturated,"""being the most concentrated solution possible at a given temperature; unable to dissolve still more of a substance"""
whole,"""including all components without exception; being one unit or constituting the full amount or extent or duration; complete""",total,"""constituting the full quantity or extent; complete"""
wicked,"""morally bad in principle or practice""",unethical,"""not conforming to approved standards of social or professional behavior"""
widespread,"""widely circulated or diffused""",pervasive,"""spreading or spread throughout"""
wild,"""marked by extreme lack of restraint or control""",reckless,"""marked by defiant disregard for danger or consequences"""
wild,"""in a natural state; not tamed or domesticated or cultivated""",uncontrolled,"""not being under control; out of control"""
willing,"""disposed or inclined toward""",amenable,"""disposed or willing to conform"""
willing,"""disposed or inclined toward""",disposed,"""having made preparations"""
willing,"""disposed or inclined toward""",prepared,"""made ready or fit or suitable beforehand"""
wise,"""having or prompted by wisdom or discernment""",knowledgeable,"""highly educated; having extensive information or understanding"""
